<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:12;113 980  ;114 020  ;113 940  ;114 010  ;339;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:13;114 010  ;114 080  ;114 010  ;114 030  ;634;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:14;114 040  ;114 070  ;114 030  ;114 070  ;180;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:15;114 060  ;114 090  ;114 020  ;114 090  ;316;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:16;114 090  ;114 180  ;114 070  ;114 140  ;1193;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:17;114 140  ;114 180  ;114 040  ;114 050  ;505;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:18;114 050  ;114 080  ;113 880  ;113 890  ;1442;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:19;113 890  ;113 940  ;113 880  ;113 910  ;624;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:20;113 890  ;113 920  ;113 840  ;113 870  ;1033;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:21;113 870  ;113 900  ;113 810  ;113 860  ;773;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:22;113 840  ;113 900  ;113 840  ;113 900  ;883;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:23;113 900  ;113 920  ;113 720  ;113 770  ;1294;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:24;113 760  ;113 800  ;113 750  ;113 760  ;363;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:25;113 770  ;113 810  ;113 740  ;113 790  ;592;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:26;113 790  ;113 870  ;113 760  ;113 810  ;542;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:27;113 800  ;113 840  ;113 800  ;113 810  ;313;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:28;113 810  ;113 850  ;113 780  ;113 830  ;261;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:29;113 840  ;113 940  ;113 830  ;113 900  ;803;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:30;113 900  ;114 100  ;113 890  ;114 090  ;1524;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:31;114 100  ;114 100  ;113 980  ;114 020  ;623;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:32;114 010  ;114 080  ;113 990  ;114 020  ;458;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:33;114 020  ;114 090  ;114 010  ;114 090  ;479;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:34;114 090  ;114 100  ;114 030  ;114 060  ;757;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:35;114 060  ;114 150  ;114 030  ;114 100  ;1296;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:36;114 100  ;114 160  ;114 100  ;114 140  ;702;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:37;114 150  ;114 190  ;114 130  ;114 150  ;585;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:38;114 130  ;114 160  ;114 080  ;114 100  ;553;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:39;114 100  ;114 150  ;114 080  ;114 120  ;453;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:40;114 110  ;114 160  ;114 110  ;114 110  ;270;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:41;114 100  ;114 200  ;114 100  ;114 180  ;705;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:42;114 180  ;114 330  ;114 120  ;114 250  ;2847;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:43;114 270  ;114 290  ;114 210  ;114 210  ;894;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:44;114 210  ;114 260  ;114 130  ;114 170  ;818;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:45;114 170  ;114 290  ;114 170  ;114 290  ;661;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:46;114 300  ;114 420  ;114 300  ;114 340  ;2857;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:47;114 350  ;114 400  ;114 320  ;114 320  ;873;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:48;114 320  ;114 420  ;114 290  ;114 310  ;713;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:49;114 330  ;114 330  ;114 270  ;114 280  ;529;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:50;114 300  ;114 310  ;114 270  ;114 290  ;591;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:51;114 290  ;114 300  ;114 230  ;114 250  ;426;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:52;114 250  ;114 320  ;114 250  ;114 300  ;297;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:53;114 310  ;114 360  ;114 280  ;114 330  ;1017;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:54;114 330  ;114 330  ;114 250  ;114 260  ;308;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:55;114 260  ;114 310  ;114 240  ;114 250  ;329;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:56;114 260  ;114 290  ;114 230  ;114 240  ;209;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:57;114 250  ;114 290  ;114 230  ;114 240  ;179;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:58;114 240  ;114 340  ;114 230  ;114 340  ;362;;;;;;
SPFB.RTS-12.18;1;12.10.2018;11:59;114 340  ;114 340  ;114 270  ;114 280  ;273;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:00;114 270  ;114 300  ;114 270  ;114 300  ;285;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:01;114 290  ;114 330  ;114 270  ;114 270  ;586;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:02;114 270  ;114 310  ;114 220  ;114 280  ;1842;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:03;114 280  ;114 400  ;114 280  ;114 360  ;1225;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:04;114 360  ;114 460  ;114 350  ;114 420  ;1338;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:05;114 430  ;114 470  ;114 370  ;114 410  ;960;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:06;114 420  ;114 430  ;114 400  ;114 410  ;303;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:07;114 420  ;114 470  ;114 390  ;114 460  ;669;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:08;114 460  ;114 470  ;114 410  ;114 420  ;358;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:09;114 410  ;114 430  ;114 310  ;114 340  ;1941;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:10;114 330  ;114 350  ;114 200  ;114 230  ;2288;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:11;114 230  ;114 240  ;114 130  ;114 180  ;2198;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:12;114 170  ;114 210  ;114 150  ;114 210  ;655;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:13;114 210  ;114 320  ;114 200  ;114 320  ;488;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:14;114 320  ;114 320  ;114 240  ;114 290  ;341;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:15;114 280  ;114 320  ;114 260  ;114 300  ;429;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:16;114 320  ;114 360  ;114 270  ;114 350  ;492;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:17;114 350  ;114 360  ;114 310  ;114 320  ;154;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:18;114 320  ;114 350  ;114 280  ;114 290  ;194;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:19;114 280  ;114 290  ;114 220  ;114 250  ;358;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:20;114 250  ;114 280  ;114 180  ;114 190  ;417;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:21;114 200  ;114 230  ;114 160  ;114 170  ;406;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:22;114 180  ;114 220  ;114 140  ;114 150  ;451;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:23;114 150  ;114 270  ;114 150  ;114 260  ;538;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:24;114 280  ;114 340  ;114 280  ;114 300  ;472;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:25;114 290  ;114 350  ;114 290  ;114 320  ;240;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:26;114 320  ;114 450  ;114 310  ;114 430  ;1026;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:27;114 430  ;114 440  ;114 370  ;114 380  ;626;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:28;114 390  ;114 390  ;114 330  ;114 360  ;166;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:29;114 370  ;114 410  ;114 350  ;114 380  ;168;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:30;114 380  ;114 480  ;114 380  ;114 440  ;1250;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:31;114 450  ;114 650  ;114 410  ;114 610  ;4028;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:32;114 620  ;114 680  ;114 580  ;114 630  ;1619;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:33;114 630  ;114 700  ;114 630  ;114 690  ;1099;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:34;114 690  ;114 720  ;114 630  ;114 700  ;1351;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:35;114 700  ;114 730  ;114 670  ;114 730  ;902;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:36;114 730  ;114 740  ;114 680  ;114 680  ;982;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:37;114 680  ;114 690  ;114 660  ;114 670  ;397;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:38;114 670  ;114 710  ;114 660  ;114 680  ;426;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:39;114 670  ;114 690  ;114 660  ;114 670  ;366;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:40;114 680  ;114 740  ;114 680  ;114 700  ;934;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:41;114 710  ;114 830  ;114 700  ;114 810  ;2938;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:42;114 820  ;114 840  ;114 670  ;114 680  ;1176;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:43;114 680  ;114 750  ;114 650  ;114 690  ;1176;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:44;114 700  ;114 700  ;114 660  ;114 690  ;346;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:45;114 690  ;114 730  ;114 610  ;114 650  ;717;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:46;114 650  ;114 660  ;114 600  ;114 630  ;532;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:47;114 610  ;114 690  ;114 610  ;114 660  ;185;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:48;114 650  ;114 700  ;114 590  ;114 640  ;438;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:49;114 650  ;114 660  ;114 600  ;114 620  ;197;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:50;114 620  ;114 650  ;114 600  ;114 610  ;179;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:51;114 630  ;114 670  ;114 610  ;114 640  ;214;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:52;114 650  ;114 670  ;114 610  ;114 610  ;307;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:53;114 630  ;114 630  ;114 570  ;114 600  ;672;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:54;114 600  ;114 630  ;114 590  ;114 600  ;189;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:55;114 610  ;114 620  ;114 580  ;114 590  ;149;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:56;114 590  ;114 610  ;114 570  ;114 580  ;253;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:57;114 570  ;114 680  ;114 570  ;114 630  ;459;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:58;114 650  ;114 660  ;114 620  ;114 640  ;258;;;;;;
SPFB.RTS-12.18;1;12.10.2018;12:59;114 640  ;114 700  ;114 630  ;114 650  ;438;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:00;114 660  ;114 730  ;114 660  ;114 700  ;656;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:01;114 690  ;114 720  ;114 650  ;114 660  ;618;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:02;114 680  ;114 680  ;114 620  ;114 630  ;235;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:03;114 640  ;114 640  ;114 510  ;114 520  ;1338;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:04;114 520  ;114 530  ;114 430  ;114 490  ;1038;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:05;114 490  ;114 500  ;114 440  ;114 460  ;465;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:06;114 460  ;114 540  ;114 420  ;114 540  ;1323;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:07;114 530  ;114 530  ;114 500  ;114 520  ;269;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:08;114 520  ;114 540  ;114 490  ;114 490  ;331;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:09;114 490  ;114 490  ;114 460  ;114 460  ;176;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:10;114 470  ;114 530  ;114 460  ;114 510  ;317;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:11;114 530  ;114 550  ;114 510  ;114 520  ;298;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:12;114 520  ;114 610  ;114 510  ;114 610  ;221;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:13;114 610  ;114 610  ;114 540  ;114 550  ;285;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:14;114 530  ;114 590  ;114 500  ;114 590  ;316;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:15;114 600  ;114 600  ;114 490  ;114 510  ;324;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:16;114 490  ;114 520  ;114 420  ;114 420  ;306;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:17;114 430  ;114 490  ;114 410  ;114 470  ;360;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:18;114 470  ;114 500  ;114 450  ;114 460  ;152;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:19;114 450  ;114 450  ;114 400  ;114 400  ;283;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:20;114 400  ;114 450  ;114 390  ;114 430  ;387;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:21;114 450  ;114 460  ;114 320  ;114 370  ;899;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:22;114 360  ;114 400  ;114 320  ;114 390  ;468;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:23;114 370  ;114 380  ;114 330  ;114 380  ;258;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:24;114 390  ;114 440  ;114 390  ;114 420  ;315;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:25;114 400  ;114 440  ;114 340  ;114 430  ;212;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:26;114 400  ;114 440  ;114 390  ;114 420  ;150;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:27;114 430  ;114 530  ;114 430  ;114 470  ;491;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:28;114 480  ;114 480  ;114 410  ;114 430  ;250;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:29;114 430  ;114 430  ;114 320  ;114 360  ;457;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:30;114 370  ;114 480  ;114 360  ;114 480  ;338;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:31;114 480  ;114 500  ;114 390  ;114 410  ;453;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:32;114 420  ;114 430  ;114 390  ;114 410  ;61;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:33;114 410  ;114 430  ;114 350  ;114 350  ;207;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:34;114 360  ;114 380  ;114 320  ;114 340  ;198;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:35;114 330  ;114 400  ;114 320  ;114 340  ;412;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:36;114 330  ;114 350  ;114 250  ;114 290  ;931;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:37;114 300  ;114 330  ;114 280  ;114 300  ;442;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:38;114 300  ;114 330  ;114 280  ;114 320  ;490;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:39;114 320  ;114 390  ;114 320  ;114 360  ;285;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:40;114 380  ;114 390  ;114 360  ;114 390  ;131;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:41;114 370  ;114 440  ;114 360  ;114 440  ;383;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:42;114 430  ;114 490  ;114 390  ;114 450  ;633;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:43;114 460  ;114 480  ;114 430  ;114 440  ;141;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:44;114 450  ;114 490  ;114 450  ;114 480  ;245;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:45;114 490  ;114 580  ;114 460  ;114 580  ;757;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:46;114 580  ;114 610  ;114 540  ;114 580  ;728;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:47;114 590  ;114 640  ;114 580  ;114 620  ;444;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:48;114 640  ;114 650  ;114 520  ;114 520  ;510;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:49;114 530  ;114 720  ;114 520  ;114 710  ;912;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:50;114 710  ;114 720  ;114 620  ;114 680  ;244;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:51;114 690  ;114 730  ;114 670  ;114 710  ;436;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:52;114 710  ;114 720  ;114 640  ;114 690  ;285;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:53;114 690  ;114 690  ;114 640  ;114 650  ;129;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:54;114 650  ;114 680  ;114 640  ;114 680  ;67;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:55;114 680  ;114 700  ;114 660  ;114 660  ;149;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:56;114 660  ;114 680  ;114 650  ;114 680  ;138;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:57;114 680  ;114 720  ;114 660  ;114 680  ;243;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:58;114 680  ;114 690  ;114 650  ;114 660  ;312;;;;;;
SPFB.RTS-12.18;1;12.10.2018;13:59;114 660  ;114 670  ;114 630  ;114 650  ;121;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:00;114 650  ;114 680  ;114 610  ;114 640  ;335;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:06;114 650  ;114 800  ;114 620  ;114 690  ;1922;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:07;114 700  ;114 730  ;114 660  ;114 660  ;484;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:08;114 660  ;114 720  ;114 650  ;114 710  ;256;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:09;114 690  ;114 720  ;114 680  ;114 700  ;241;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:10;114 680  ;114 680  ;114 580  ;114 590  ;1026;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:11;114 600  ;114 600  ;114 540  ;114 580  ;763;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:12;114 580  ;114 580  ;114 480  ;114 480  ;531;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:13;114 480  ;114 540  ;114 470  ;114 490  ;585;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:14;114 500  ;114 610  ;114 500  ;114 610  ;484;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:15;114 600  ;114 610  ;114 570  ;114 580  ;134;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:16;114 580  ;114 610  ;114 580  ;114 580  ;131;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:17;114 570  ;114 580  ;114 530  ;114 560  ;164;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:18;114 570  ;114 650  ;114 560  ;114 640  ;389;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:19;114 640  ;114 650  ;114 630  ;114 640  ;108;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:20;114 650  ;114 720  ;114 650  ;114 710  ;651;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:21;114 700  ;114 710  ;114 640  ;114 650  ;326;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:22;114 650  ;114 710  ;114 640  ;114 710  ;118;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:23;114 700  ;114 700  ;114 670  ;114 670  ;53;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:24;114 670  ;114 730  ;114 670  ;114 710  ;193;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:25;114 700  ;114 720  ;114 660  ;114 680  ;145;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:26;114 670  ;114 690  ;114 640  ;114 670  ;113;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:27;114 680  ;114 690  ;114 620  ;114 660  ;168;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:28;114 650  ;114 660  ;114 560  ;114 570  ;441;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:29;114 580  ;114 670  ;114 570  ;114 640  ;444;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:30;114 640  ;114 650  ;114 610  ;114 620  ;145;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:31;114 620  ;114 630  ;114 550  ;114 580  ;413;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:32;114 580  ;114 600  ;114 550  ;114 600  ;414;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:33;114 580  ;114 600  ;114 570  ;114 580  ;144;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:34;114 590  ;114 600  ;114 580  ;114 590  ;273;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:35;114 590  ;114 590  ;114 440  ;114 460  ;1099;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:36;114 470  ;114 490  ;114 430  ;114 450  ;670;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:37;114 450  ;114 490  ;114 420  ;114 470  ;414;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:38;114 480  ;114 490  ;114 440  ;114 460  ;361;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:39;114 460  ;114 470  ;114 440  ;114 450  ;225;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:40;114 450  ;114 480  ;114 400  ;114 410  ;917;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:41;114 410  ;114 430  ;114 380  ;114 420  ;449;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:42;114 430  ;114 440  ;114 380  ;114 400  ;1104;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:43;114 390  ;114 450  ;114 390  ;114 430  ;132;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:44;114 440  ;114 510  ;114 420  ;114 500  ;332;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:45;114 500  ;114 500  ;114 460  ;114 460  ;144;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:46;114 460  ;114 480  ;114 440  ;114 480  ;331;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:47;114 470  ;114 560  ;114 470  ;114 530  ;351;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:48;114 520  ;114 570  ;114 520  ;114 570  ;175;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:49;114 570  ;114 670  ;114 570  ;114 670  ;716;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:50;114 680  ;114 680  ;114 620  ;114 620  ;399;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:51;114 630  ;114 640  ;114 590  ;114 620  ;215;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:52;114 630  ;114 660  ;114 610  ;114 620  ;344;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:53;114 610  ;114 610  ;114 580  ;114 580  ;312;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:54;114 580  ;114 590  ;114 510  ;114 530  ;354;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:55;114 520  ;114 530  ;114 480  ;114 490  ;642;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:56;114 490  ;114 490  ;114 400  ;114 410  ;604;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:57;114 420  ;114 420  ;114 290  ;114 410  ;1582;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:58;114 410  ;114 500  ;114 400  ;114 480  ;329;;;;;;
SPFB.RTS-12.18;1;12.10.2018;14:59;114 470  ;114 540  ;114 440  ;114 530  ;331;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:00;114 530  ;114 560  ;114 500  ;114 550  ;352;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:01;114 550  ;114 590  ;114 480  ;114 480  ;306;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:02;114 480  ;114 490  ;114 450  ;114 470  ;180;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:03;114 470  ;114 580  ;114 460  ;114 580  ;248;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:04;114 570  ;114 600  ;114 560  ;114 590  ;252;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:05;114 590  ;114 670  ;114 590  ;114 670  ;1090;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:06;114 670  ;114 680  ;114 610  ;114 680  ;277;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:07;114 680  ;114 720  ;114 620  ;114 710  ;690;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:08;114 710  ;114 720  ;114 650  ;114 670  ;468;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:09;114 650  ;114 670  ;114 630  ;114 640  ;147;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:10;114 650  ;114 660  ;114 570  ;114 580  ;581;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:11;114 570  ;114 620  ;114 560  ;114 570  ;273;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:12;114 570  ;114 610  ;114 550  ;114 550  ;125;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:13;114 550  ;114 640  ;114 550  ;114 640  ;223;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:14;114 640  ;114 690  ;114 630  ;114 660  ;368;;;;;;
SPFB.RTS-12.18;1;12.10.2018;15:15;114 650  ;114 780  ;114 650  ;114 750  ;742;;;;;;
