<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:05;105 300  ;105 300  ;105 280  ;105 280  ;10;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:06;105 290  ;105 340  ;105 280  ;105 340  ;9;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:07;105 300  ;105 370  ;105 300  ;105 370  ;19;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:08;105 350  ;105 380  ;105 340  ;105 350  ;15;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:09;105 390  ;105 400  ;105 370  ;105 370  ;16;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:10;105 410  ;105 410  ;105 390  ;105 390  ;22;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:12;105 380  ;105 380  ;105 370  ;105 370  ;8;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:13;105 340  ;105 340  ;105 340  ;105 340  ;1;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:14;105 300  ;105 310  ;105 300  ;105 310  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:17;105 320  ;105 320  ;105 320  ;105 320  ;1;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:18;105 330  ;105 330  ;105 330  ;105 330  ;20;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:19;105 320  ;105 320  ;105 310  ;105 320  ;12;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:20;105 360  ;105 400  ;105 360  ;105 400  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:21;105 430  ;105 480  ;105 430  ;105 450  ;105;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:22;105 410  ;105 420  ;105 380  ;105 380  ;29;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:23;105 400  ;105 400  ;105 390  ;105 390  ;8;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:24;105 390  ;105 390  ;105 390  ;105 390  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:25;105 370  ;105 390  ;105 350  ;105 390  ;13;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:26;105 400  ;105 420  ;105 400  ;105 420  ;172;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:27;105 410  ;105 450  ;105 410  ;105 440  ;116;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:28;105 440  ;105 470  ;105 430  ;105 450  ;111;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:29;105 450  ;105 450  ;105 420  ;105 420  ;52;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:30;105 420  ;105 480  ;105 420  ;105 460  ;17;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:31;105 490  ;105 490  ;105 470  ;105 470  ;38;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:32;105 450  ;105 460  ;105 430  ;105 430  ;76;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:33;105 430  ;105 440  ;105 390  ;105 390  ;25;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:34;105 400  ;105 400  ;105 400  ;105 400  ;1;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:35;105 390  ;105 410  ;105 390  ;105 410  ;11;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:36;105 420  ;105 420  ;105 420  ;105 420  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:37;105 420  ;105 430  ;105 410  ;105 430  ;14;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:38;105 450  ;105 470  ;105 420  ;105 420  ;17;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:39;105 400  ;105 400  ;105 360  ;105 360  ;9;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:40;105 340  ;105 340  ;105 270  ;105 280  ;23;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:41;105 270  ;105 290  ;105 250  ;105 280  ;76;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:42;105 270  ;105 290  ;105 230  ;105 230  ;15;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:43;105 260  ;105 280  ;105 260  ;105 280  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:44;105 290  ;105 290  ;105 260  ;105 260  ;10;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:45;105 280  ;105 280  ;105 260  ;105 270  ;27;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:46;105 280  ;105 300  ;105 280  ;105 300  ;8;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:47;105 280  ;105 290  ;105 280  ;105 290  ;15;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:48;105 290  ;105 290  ;105 240  ;105 260  ;9;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:49;105 240  ;105 250  ;105 230  ;105 250  ;10;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:50;105 260  ;105 300  ;105 260  ;105 290  ;23;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:51;105 310  ;105 350  ;105 310  ;105 340  ;17;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:52;105 320  ;105 320  ;105 320  ;105 320  ;41;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:53;105 330  ;105 330  ;105 320  ;105 320  ;13;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:54;105 320  ;105 340  ;105 320  ;105 340  ;9;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:55;105 370  ;105 380  ;105 350  ;105 350  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:56;105 320  ;105 320  ;105 320  ;105 320  ;10;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:57;105 300  ;105 330  ;105 300  ;105 320  ;19;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:58;105 350  ;105 350  ;105 340  ;105 340  ;26;;;;;;
SPFB.RTS-12.18;1;12.09.2018;11:59;105 320  ;105 320  ;105 300  ;105 300  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:00;105 310  ;105 310  ;105 290  ;105 290  ;26;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:01;105 300  ;105 310  ;105 300  ;105 310  ;24;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:02;105 270  ;105 270  ;105 200  ;105 230  ;50;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:03;105 250  ;105 250  ;105 240  ;105 250  ;8;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:04;105 200  ;105 200  ;105 130  ;105 160  ;58;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:05;105 140  ;105 140  ;105 030  ;105 030  ;79;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:06;105 050  ;105 060  ;105 000  ;105 010  ;86;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:07;105 030  ;105 060  ;105 020  ;105 050  ;54;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:08;105 030  ;105 040  ;105 010  ;105 030  ;58;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:09;105 040  ;105 070  ;105 040  ;105 050  ;21;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:10;105 070  ;105 070  ;105 070  ;105 070  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:11;105 070  ;105 070  ;105 070  ;105 070  ;4;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:12;105 070  ;105 070  ;105 060  ;105 060  ;81;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:13;105 050  ;105 050  ;104 980  ;104 980  ;11;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:14;104 980  ;105 020  ;104 980  ;105 020  ;32;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:15;105 040  ;105 040  ;105 040  ;105 040  ;2;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:16;105 030  ;105 030  ;104 990  ;104 990  ;6;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:17;104 970  ;104 970  ;104 950  ;104 970  ;38;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:18;104 970  ;104 980  ;104 970  ;104 980  ;4;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:19;104 970  ;104 970  ;104 970  ;104 970  ;5;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:20;104 940  ;104 950  ;104 930  ;104 930  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:21;104 930  ;104 960  ;104 930  ;104 940  ;22;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:22;104 950  ;105 000  ;104 950  ;105 000  ;22;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:23;104 930  ;104 930  ;104 800  ;104 840  ;46;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:24;104 850  ;104 880  ;104 850  ;104 880  ;12;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:25;104 890  ;104 900  ;104 840  ;104 840  ;33;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:26;104 840  ;104 880  ;104 840  ;104 870  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:27;104 900  ;104 920  ;104 880  ;104 880  ;25;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:28;104 880  ;104 890  ;104 880  ;104 890  ;8;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:29;104 920  ;104 950  ;104 920  ;104 950  ;8;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:30;104 960  ;104 970  ;104 950  ;104 960  ;47;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:31;104 950  ;104 960  ;104 940  ;104 960  ;13;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:32;105 000  ;105 000  ;105 000  ;105 000  ;55;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:33;105 010  ;105 010  ;104 990  ;104 990  ;8;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:34;105 040  ;105 040  ;105 030  ;105 030  ;2;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:36;105 000  ;105 000  ;105 000  ;105 000  ;4;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:37;104 980  ;104 980  ;104 940  ;104 940  ;27;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:38;104 930  ;104 930  ;104 900  ;104 900  ;28;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:39;104 900  ;104 950  ;104 900  ;104 950  ;44;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:40;104 970  ;104 980  ;104 960  ;104 980  ;22;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:42;104 990  ;104 990  ;104 920  ;104 940  ;163;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:43;104 960  ;104 960  ;104 960  ;104 960  ;1;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:44;104 970  ;104 970  ;104 970  ;104 970  ;25;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:45;104 990  ;104 990  ;104 990  ;104 990  ;15;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:46;104 950  ;104 970  ;104 940  ;104 970  ;7;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:47;105 000  ;105 030  ;105 000  ;105 030  ;52;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:48;105 050  ;105 100  ;105 050  ;105 080  ;106;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:49;105 060  ;105 060  ;105 030  ;105 030  ;40;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:50;105 030  ;105 040  ;105 030  ;105 040  ;17;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:51;105 040  ;105 040  ;105 040  ;105 040  ;2;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:52;105 010  ;105 040  ;105 010  ;105 040  ;29;;;;;;
SPFB.RTS-12.18;1;12.09.2018;12:53;105 010  ;105 010  ;104 950  ;104 990  ;30;;;;;;
